DATE,PLANT,PARTNER,MATERIAL,VALUE,
04.01.2021,1118,21003989,BT00001,16,
04.01.2021,1118,21003989,BT00001,32,
04.01.2021,1118,21003989,BT00003,13,
04.01.2021,1118,21003989,BT00006,63,
04.01.2021,1113,21006306,BT00002,24,
04.01.2021,1113,21006306,BT00002,24,
04.01.2021,1121,21006377,BT00002,16,
04.01.2021,1118,21006379,BT00002,128,
04.01.2021,1118,21006639,BT00002,32,
04.01.2021,1119,21006759,BT00001,32,
04.01.2021,1119,21006759,BT00001,64,
04.01.2021,1119,21006759,BT00001,16,
04.01.2021,1119,21006759,BT00001,-16,
04.01.2021,1124,21006759,BT00001,128,
04.01.2021,1124,21006759,BT00001,16,
04.01.2021,1124,21006759,BT00001,144,
04.01.2021,1118,21009095,BT00001,24,
04.01.2021,1115,21009916,BT00001,32,
04.01.2021,1115,21009916,BT00001,10,
04.01.2021,1118,21014375,BT00001,24,
04.01.2021,1118,21014375,BT00001,4,
04.01.2021,1118,21014375,BT00001,32,
04.01.2021,1118,21014375,BT00001,4,
04.01.2021,1118,21014375,BT00001,4,
04.01.2021,1118,21014375,BT00001,32,
04.01.2021,1119,21014428,BT00001,3,
04.01.2021,1119,21014428,BT00001,48,
04.01.2021,1119,21014428,BT00001,16,
04.01.2021,1118,21014428,BT00002,64,
04.01.2021,1119,21014428,BT00002,8,
04.01.2021,1119,21014428,BT00007,4,
04.01.2021,1119,21014428,BT00007,4,
04.01.2021,1119,21014428,BT00007,12,
04.01.2021,1119,21014428,BT00007,96,
04.01.2021,1119,21014428,BT00007,8,
04.01.2021,1119,21014428,BT00007,4,
04.01.2021,1119,21014428,BT00007,1,
04.01.2021,1119,21014428,BT00007,8,
04.01.2021,1119,21014428,BT00007,3,
04.01.2021,1119,21014428,BT00007,4,
04.01.2021,1119,21014428,BT00007,3,
04.01.2021,1119,21014428,BT00007,1,
04.01.2021,1119,21014428,BT00007,6,
04.01.2021,1119,21014428,BT00007,1,
04.01.2021,1115,21014820,BT00002,96,
04.01.2021,1116,21014820,BT00004,10,
04.01.2021,1112,21016806,BT00002,8,
04.01.2021,1112,21016806,BT00002,-8,
04.01.2021,1118,21017353,BT00001,15,
04.01.2021,1118,21017353,BT00001,12,
04.01.2021,1118,21017353,BT00001,4,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,2,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,48,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,6,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,4,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,15,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,48,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,48,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,32,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00001,16,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,1,
04.01.2021,1118,21017353,BT00002,1,
04.01.2021,1118,21017353,BT00002,10,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,32,
04.01.2021,1118,21017353,BT00002,32,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00002,2,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,36,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,36,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,36,
04.01.2021,1118,21017353,BT00003,36,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,72,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,36,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,72,
04.01.2021,1118,21017353,BT00003,12,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,48,
04.01.2021,1118,21017353,BT00003,24,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,18,
04.01.2021,1118,21017353,BT00006,27,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017353,BT00006,27,
04.01.2021,1118,21017353,BT00006,9,
04.01.2021,1118,21017358,BT00007,288,
04.01.2021,1114,21020415,BT00001,-16,
04.01.2021,1114,21020415,BT00003,-96,
04.01.2021,1114,21020415,BT00007,-48,
04.01.2021,1114,21020415,BT00003,60,
04.01.2021,1114,21020415,BT00003,72,
04.01.2021,1114,21020415,BT00003,60,
04.01.2021,1114,21020415,BT00003,48,
04.01.2021,1124,21020740,BT00001,48,
04.01.2021,1124,21020740,BT00001,160,
04.01.2021,1118,21020740,BT00003,36,
04.01.2021,1118,21020740,BT00003,276,
04.01.2021,1118,21020740,BT00003,24,
04.01.2021,1120,21021235,BT00003,60,
04.01.2021,1120,21021566,BT00003,72,
04.01.2021,1114,21022451,BT00001,-96,
04.01.2021,1114,21022451,BT00001,-112,
04.01.2021,1114,21022451,BT00001,-64,
04.01.2021,1114,21022451,BT00001,-64,
04.01.2021,1114,21022451,BT00001,-16,
04.01.2021,1114,21022451,BT00001,-32,
04.01.2021,1114,21022451,BT00001,-32,
04.01.2021,1114,21022451,BT00001,-32,
04.01.2021,1114,21022451,BT00001,-16,
04.01.2021,1114,21022451,BT00001,-16,
04.01.2021,1114,21022451,BT00002,-32,
04.01.2021,1114,21022451,BT00002,-32,
04.01.2021,1114,21022451,BT00002,-8,
04.01.2021,1114,21022451,BT00002,-16,
04.01.2021,1114,21022451,BT00005,-32,
04.01.2021,1114,21022451,BT00005,-64,
04.01.2021,1114,21022451,BT00005,-64,
04.01.2021,1114,21022451,BT00005,32,
04.01.2021,1114,21022451,BT00005,32,
04.01.2021,1120,21024221,BT00001,20,
04.01.2021,1118,21024344,BT00001,36,
04.01.2021,1118,21024344,BT00001,48,
04.01.2021,1118,21024344,BT00001,60,
04.01.2021,1114,21024456,BT00001,-4,
04.01.2021,1114,21024456,BT00001,-16,
04.01.2021,1114,21024456,BT00002,-8,
04.01.2021,1114,21024456,BT00003,-420,
04.01.2021,1114,21024456,BT00005,-24,
04.01.2021,1114,21024456,BT00005,-32,
04.01.2021,1114,21024456,BT00005,-16,
04.01.2021,1114,21024456,BT00003,120,
04.01.2021,1114,21024456,BT00005,4,
04.01.2021,1114,21025172,BT00004,144,
04.01.2021,1114,21025174,BT00001,16,
04.01.2021,1114,21025174,BT00001,64,
04.01.2021,1114,21025174,BT00001,400,
04.01.2021,1114,21025174,BT00002,32,
04.01.2021,1114,21025174,BT00002,32,
04.01.2021,1114,21025346,BT00002,8,
04.01.2021,1119,21025346,BT00002,8,
04.01.2021,1119,21025346,BT00002,8,
04.01.2021,1119,21025346,BT00002,16,
04.01.2021,1119,21025346,BT00002,16,
04.01.2021,1116,21025346,BT00007,1,
04.01.2021,1116,21025346,BT00007,5,
04.01.2021,1118,21025501,BT00002,3,
04.01.2021,1118,21025501,BT00002,12,
04.01.2021,1118,21025501,BT00002,4,
04.01.2021,1118,21025501,BT00002,16,
04.01.2021,1125,21029759,BT00002,10,
04.01.2021,1125,21029759,BT00002,6,
04.01.2021,1125,21029759,BT00002,8,
04.01.2021,1125,21029759,BT00002,32,
04.01.2021,1125,21029759,BT00002,3,
04.01.2021,1125,21029759,BT00002,1,
04.01.2021,1125,21029759,BT00002,1,
04.01.2021,1125,21029759,BT00002,2,
04.01.2021,1125,21029759,BT00002,2,
04.01.2021,1125,21029759,BT00003,5,
04.01.2021,1118,21032522,BT00007,16,
04.01.2021,1118,21032522,BT00007,37,
04.01.2021,1118,21032522,BT00007,16,
04.01.2021,1118,21032522,BT00007,32,
04.01.2021,1121,21041207,BT00001,32,
04.01.2021,1121,21041207,BT00001,48,
04.01.2021,1121,21041207,BT00001,144,
04.01.2021,1121,21041207,BT00001,144,
04.01.2021,1125,21042912,BT00006,18,
04.01.2021,1125,21042912,BT00007,3,
04.01.2021,1112,2400232,BT00006,-3,
04.01.2021,1112,2400238,BT00001,-48,
04.01.2021,1112,2400238,BT00001,-16,
04.01.2021,1123,2400238,BT00001,-10,
04.01.2021,1123,2400238,BT00001,-32,
04.01.2021,1119,2400284,BT00001,-1,
04.01.2021,1119,2400284,BT00001,-4,
04.01.2021,1123,2400284,BT00002,-6,
04.01.2021,1120,2400423,BT00001,-96,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1115,2400487,BT00001,-48,
04.01.2021,1115,2400487,BT00001,-12,
04.01.2021,1115,2400487,BT00001,-1,
04.01.2021,1115,2400487,BT00001,-4,
04.01.2021,1115,2400487,BT00001,-8,
04.01.2021,1120,2400487,BT00001,-16,
04.01.2021,1120,2400487,BT00001,-64,
04.01.2021,1120,2400487,BT00001,-16,
04.01.2021,1112,2400487,BT00002,-72,
04.01.2021,1112,2400487,BT00002,-32,
04.01.2021,1112,2400487,BT00002,-128,
04.01.2021,1116,2400487,BT00003,-12,
04.01.2021,1115,2401037,BT00001,-20,
04.01.2021,1115,2401037,BT00001,-32,
04.01.2021,1115,2401037,BT00001,-1,
04.01.2021,1120,2401037,BT00001,-48,
04.01.2021,1120,2401037,BT00001,-448,
04.01.2021,1112,2401843,BT00001,-80,
04.01.2021,1112,2401843,BT00001,-16,
04.01.2021,1112,2401843,BT00001,-19,
04.01.2021,1112,2401843,BT00001,-16,
04.01.2021,1112,2401843,BT00001,-192,
04.01.2021,1112,2401843,BT00001,-135,
04.01.2021,1112,2401843,BT00001,-328,
04.01.2021,1112,2401843,BT00001,-176,
04.01.2021,1112,2401843,BT00001,-48,
04.01.2021,1112,2401843,BT00001,-64,
04.01.2021,1112,2401843,BT00001,-64,
04.01.2021,1112,2401843,BT00001,-48,
04.01.2021,1112,2401843,BT00001,-32,
04.01.2021,1112,2401843,BT00001,-80,
04.01.2021,1112,2401843,BT00001,-64,
04.01.2021,1115,2401843,BT00001,-4,
04.01.2021,1112,2401843,BT00002,-32,
04.01.2021,1114,2405069,BT00005,-1664,
04.01.2021,1120,2407666,BT00001,576,
04.01.2021,1120,2407666,BT00001,-144,
04.01.2021,1120,2407666,BT00001,-16,
04.01.2021,1120,2407666,BT00001,-128,
04.01.2021,1125,2407666,BT00001,-16,
04.01.2021,1111,2408085,BT00005,-1040,
04.01.2021,1111,2420475,BT00001,1716,
04.01.2021,1111,2420475,BT00002,1872,
04.01.2021,1111,2420475,BT00003,160,
04.01.2021,1111,2420475,BT00004,52,
04.01.2021,1111,2420475,BT00006,54,
04.01.2021,1111,2420475,BT00007,320,
04.01.2021,1111,2421213,BT00003,-440,
04.01.2021,1111,2421487,BT00007,-320,
04.01.2021,1113,2421529,BT00005,-128,
04.01.2021,1118,2421897,BT00001,-1040,
04.01.2021,1111,2421897,BT00007,-640,
04.01.2021,1111,2423048,BT00001,-1560,
04.01.2021,1111,2423048,BT00002,-416,
04.01.2021,1111,2423048,BT00003,-160,
04.01.2021,1111,2423126,BT00002,-2496,
04.01.2021,1111,2423126,BT00007,-320,
04.01.2021,1118,2423572,BT00002,-104,
04.01.2021,1118,2423572,BT00003,-160,
04.01.2021,1118,2423572,BT00006,-27,
04.01.2021,1119,2423592,BT00001,468,
04.01.2021,1119,2423592,BT00001,-468,
04.01.2021,1119,2423592,BT00002,1872,
04.01.2021,1119,2423592,BT00002,-312,
04.01.2021,1119,2423592,BT00004,468,
04.01.2021,1119,2423592,BT00007,320,
04.01.2021,1118,2423605,BT00001,-1040,
04.01.2021,1118,2423605,BT00006,-216,
04.01.2021,1118,2423962,BT00007,-320,
04.01.2021,1111,2427211,BT00001,3432,
04.01.2021,1124,2427211,BT00001,-576,
04.01.2021,1111,2427383,BT00001,-728,
04.01.2021,1111,2427383,BT00002,-624,
04.01.2021,1111,2427383,BT00003,-320,
04.01.2021,1116,2428311,BT00001,-832,
04.01.2021,1116,2428311,BT00002,-416,
04.01.2021,1116,2428311,BT00004,-416,
04.01.2021,1111,2428417,BT00001,-1144,
04.01.2021,1111,2428586,BT00001,-364,
04.01.2021,1111,2428586,BT00002,-728,
04.01.2021,1111,2428586,BT00003,-160,
04.01.2021,1111,2428586,BT00006,-81,
04.01.2021,1111,2428601,BT00005,-1040,
04.01.2021,1111,2430454,BT00007,-1600,
04.01.2021,1118,2430494,BT00001,104,
04.01.2021,1118,2430494,BT00001,52,
04.01.2021,1118,2430494,BT00001,156,
04.01.2021,1118,2430494,BT00001,52,
04.01.2021,1118,2430494,BT00001,52,
04.01.2021,1118,2430494,BT00002,104,
04.01.2021,1118,2430494,BT00002,104,
04.01.2021,1118,2430494,BT00003,-960,
04.01.2021,1111,2431287,BT00001,-3432,
04.01.2021,1111,2431768,BT00001,-624,
04.01.2021,1111,2431895,BT00003,-320,
04.01.2021,1111,2431914,BT00001,-520,
04.01.2021,1111,2431914,BT00002,-1040,
04.01.2021,1111,2431914,BT00003,-800,
04.01.2021,1114,2432091,BT00001,52,
04.01.2021,1114,2432091,BT00002,104,
04.01.2021,1111,2432778,BT00003,-2640,
04.01.2021,1120,2435213,BT00001,2704,
04.01.2021,1120,2435213,BT00003,120,
04.01.2021,1120,2435213,BT00003,-960,
04.01.2021,1120,2435213,BT00006,189,
04.01.2021,1120,2435213,BT00006,-378,
05.01.2021,1116,247900,BT00001,4,
05.01.2021,1112,247900,BT00002,8,
05.01.2021,1114,247900,BT00002,16,
05.01.2021,1115,247900,BT00002,16,
05.01.2021,1112,247900,BT00007,32,
05.01.2021,1114,331800,BT00001,16,
05.01.2021,1114,331800,BT00001,16,
05.01.2021,1114,331800,BT00002,8,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00002,8,
05.01.2021,1114,331800,BT00002,8,
05.01.2021,1114,331800,BT00002,8,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00002,8,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00002,32,
05.01.2021,1114,331800,BT00007,32,
05.01.2021,1114,331800,BT00007,7,
05.01.2021,1114,331800,BT00007,16,
05.01.2021,1114,331800,BT00007,16,
05.01.2021,1114,331800,BT00007,1,
05.01.2021,1114,331800,BT00007,1,
05.01.2021,1114,331800,BT00007,2,
05.01.2021,1114,331800,BT00007,1,
05.01.2021,1115,331800,BT00007,1,
05.01.2021,1116,331800,BT00007,16,
05.01.2021,1116,331800,BT00007,16,
05.01.2021,1118,339800,BT00002,24,
05.01.2021,1118,621100,BT00003,36,
05.01.2021,1115,1077300,BT00001,1,
05.01.2021,1112,1085200,BT00001,12,
05.01.2021,1118,1118000,BT00006,27,
05.01.2021,1114,1158600,BT00002,2,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,48,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1114,1158600,BT00003,12,
05.01.2021,1118,1172400,BT00007,48,
05.01.2021,1115,1182200,BT00001,2,
05.01.2021,1115,1182200,BT00001,4,
05.01.2021,1115,1182200,BT00002,1,
05.01.2021,1115,1182200,BT00002,1,
05.01.2021,1115,1182200,BT00002,8,
05.01.2021,1115,1182200,BT00002,1,
05.01.2021,1115,1182200,BT00002,1,
05.01.2021,1115,1182200,BT00002,1,
05.01.2021,1115,1182200,BT00007,4,
05.01.2021,1112,1205600,BT00001,3,
05.01.2021,1119,1205600,BT00001,16,
